,District,BuildingName,LastDate/ReportingDateofVisitbyAnyoftheInvolvedCase(s),RelatedConfirmed/ProbableCase(s)
262,Temple Mall South Kam Kee Cafe,Wong Tai Sin,04/07/2020,1358
263,Choi Wan Commercial Complex Choi Wan Market,Wong Tai Sin,04/07/2020,1361
264,Lei Yue Mun Municipal Services Building,Kwun Tong,04/07/2020,1368
265,Shui Chuen O Plaza 太子燒味,Sha Tin,04/07/2020,1379
266,Austin Plaza,Yau Tsim Mong,04/07/2020,1394
267,Victoria Mall,Yau Tsim Mong,04/07/2020,1394
268,Tung Wai Court Basement,Tuen Mun,04/07/2020,1402
269,Parklane Plaza,Tuen Mun,04/07/2020,1403
270,"Yuk Shek House, Ping Shek Estate  Bun Kee Congee & Noodle Foods",Kwun Tong,04/07/2020,"1269, 1283, 1291, 1297, 1322, 1361, 1388, 1414, 1456, 1457"
271,Lek Yuen Shopping Centre,Sha Tin,05/07/2020,1293
272,13 Tai Wai Road,Sha Tin,05/07/2020,1294
273,New Town Plaza,Sha Tin,05/07/2020,1294
274,Mongkok City Building,Yau Tsim Mong,05/07/2020,1304
275,Commerical Complex Choi Wan Estate McDonald's,Wong Tai Sin,05/07/2020,1305
276,Tseun Wan Plaza   Mou Mou Club,Tsuen Wan,05/07/2020,1313
277,Renaissance Hong Kong Harbour View Hotel,Wan Chai,05/07/2020,1313
278,Lee Theatre Plaza The Graces Restaurant,Wan Chai,05/07/2020,1319
279,Man Tak House,Wong Tai Sin,05/07/2020,1322
280,Kwun Tong Plaza 龍寶酒家,Kwun Tong,05/07/2020,1332
281,Metro Town  Tong Kee Bao Dim,Sai Kung,05/07/2020,1356
282,24 Man Wai Street 新華寶城餐廳,Yau Tsim Mong,05/07/2020,1356
283,56-58 Nga Tsin Wai Road Shun Hing Restaurant,Kowloon City,05/07/2020,1358
284,Domain,Kwun Tong,05/07/2020,1368
285,Lei Yue Mun Plaza,Kwun Tong,05/07/2020,1368
286,Shui Chuen O Plaza McDonald’s,Sha Tin,05/07/2020,1381
287,Ma On Shan Plaza Beans Be Water,Sha Tin,05/07/2020,1385
288,MCP Central,Sai Kung,05/07/2020,1443
289,Nga Chi Wan Municipal Services Building,Wong Tai Sin,05/07/2020,1468
290,Master Beef Hot Pot King Wah Centre,Yau Tsim Mong,05/07/2020,1481
291,26-38 Man Ying Street Sun Fat Restaurant,Yau Tsim Mong,05/07/2020,"1289, 1301, 1317, 1324, 1329, 1396, 1438, 1449"
292,Kings Wing Plaza 1 Rich Pot,Sha Tin,06/07/2020,1293
293,The Church of Christ in China Rotary Secondary School,Wong Tai Sin,06/07/2020,1295
294,Richland Garden Shopping Arcade,Tuen Mun,06/07/2020,1296
295,Westlands Centre,Eastern,06/07/2020,1304
296,Harbour Plaza Metropolis,Yau Tsim Mong,06/07/2020,1313
297,Trade Square,Sham Shui Po,06/07/2020,1313
298,Choi Ming Shopping Centre  茶魚飯后,Sai Kung,06/07/2020,1356
299,Lee Garden phase 1,Wan Chai,06/07/2020,1358
300,"Hyatt Regency Hong Kong, Sha Tin",Sha Tin,06/07/2020,1359
301,Oriental Crystal Finance Centre,Yau Tsim Mong,06/07/2020,1359
302,Wai King Building,Kwun Tong,06/07/2020,1371
303,Park Central Shopping Centre  Kanada-ya,Sai Kung,06/07/2020,1375
304,Sun Chui Shopping Centre Pizza Hut,Sha Tin,06/07/2020,1387
305,2 Kwai Chi Pat,Wong Tai Sin,06/07/2020,1388
306,Yee Hing Court Via Restaurant,Yau Tsim Mong,06/07/2020,1426
307,Winsum Industrial Building,Sham Shui Po,06/07/2020,1428
308,Paul Y. Centre,Kwun Tong,06/07/2020,1431
309,New Trade Plaza,Sha Tin,06/07/2020,1440
310,The Hong Kong Jockey Club Happy Valley Clubhouse,Wan Chai,06/07/2020,1470
311,"Honland Building, 108- 118 Prince Edward Road Café de Coral",Yau Tsim Mong,06/07/2020,1512
312,Lung Hing Tong,Sham Shui Po,06/07/2020,1512
313,Dragon Centre,Sham Shui Po,06/07/2020,"1233, 1263, 1435"
314,12 Yuk Wah Cres Times Café,Wong Tai Sin,06/07/2020,"1358, 1359"
315,The Globe,Sham Shui Po,06/07/2020,"1359, 1464"
316,MOSTown,Sha Tin,06/07/2020,"1372, 1385"
317,Che Wah Building Sai Chuen Cuisine,Wong Tai Sin,06/07/2020,"1430, 1532"
318,Central Restaurant,Sham Shui Po,06/07/2020,"1513, 1545"
319,60A Lung Chi Path 新志興至尊燒鵝大王,Wong Tai Sin,07/07/2020,1305
320,4-24 Ting Fu StreetPing Wheat Noodles,Kwun Tong,07/07/2020,1329
321,Our Lady's College,Wong Tai Sin,07/07/2020,1331
322,Sun Hing Furniture Commercial Building Goose King's Roasted Kitchen,Yau Tsim Mong,07/07/2020,1332
323,MTR Tiu Keng Leng StationHuman Health Medical Centre,Sai Kung,07/07/2020,1356
324,Tokwawan Mansion TamJai SamGor,Kowloon City,07/07/2020,1368
325,67 Pak Tai Street,Kowloon City,07/07/2020,1368
326,Citygate  Genki Sushi,Islands,07/07/2020,1377
327,Grand Central Plaza Beans The Greenhouse,Sha Tin,07/07/2020,1383
328,Temple Mall South ItaMoMo Café,Wong Tai Sin,07/07/2020,1383
329,Tsz Wan Shan Shopping Centre  Pho Nguyen Lan,Wong Tai Sin,07/07/2020,1383
330,Kowloon City Baptist Church Hay Nien (Yan Ping) Primary School,Sha Tin,07/07/2020,1387
331,One Harbourfront,Kowloon City,07/07/2020,1398
332,The L. Square,Wan Chai,07/07/2020,1415
333,Causeway Bay Plaza,Wan Chai,07/07/2020,1415
334,Kowloon Bay Industrial Centre,Kwun Tong,07/07/2020,1415
335,"Cheng Yu Tung Building, The Hong Kong Univeristy of Science and Technology",Sai Kung,07/07/2020,1416
336,The One,Yau Tsim Mong,07/07/2020,1431
337,Tseung Kwan O Plaza Club House,Sai Kung,07/07/2020,1433
338,"Cooked Food Centre, Pei Ho Street Municipal Services Building",Sham Shui Po,07/07/2020,1435
339,118 Connaught Road West,Central & Western,07/07/2020,1440
340,Po Leung Kuk Lam Man Chan English Primary School,Kowloon City,07/07/2020,1446
341,Grand Waterfront Plaza Tai Hing,Kowloon City,07/07/2020,1446
342,"Winfair Building, 8 Yuk Wah Crescent",Wong Tai Sin,07/07/2020,1487
343,Splendid Centre,Sham Shui Po,07/07/2020,1521
344,Hong Kong Baptist Hospital,Kowloon City,07/07/2020,"1314, 1364"
345,Argyle Centre Phase I,Yau Tsim Mong,07/07/2020,"1315, 1512"
346,Choi Wan Commerical Complex Lucky Dragon Palace Restaurant,Wong Tai Sin,07/07/2020,"1361, 1397"
347,Sincere Podium,Yau Tsim Mong,08/07/2020,1368
348,Park Central Shopping Centre,Sai Kung,08/07/2020,1375
349,Po Leung Kuk Chee Jing Yin Primary School,Sha Tin,08/07/2020,1378
350,5 Jat Min Chuen Street,Sha Tin,08/07/2020,1379
351,"Wet market, Shui Chuen O Estate",Sha Tin,08/07/2020,1384
352,PopCorn,Sai Kung,08/07/2020,1404
353,"Phase 3, Ocean Shores,",Sai Kung,08/07/2020,1429
354,56B1 Yen Chow Street,Sham Shui Po,08/07/2020,1434
355,Hang Seng Tsimshatsui Building,Yau Tsim Mong,08/07/2020,1464
356,Mira Place 1 Noodle House Ippei-An,Yau Tsim Mong,08/07/2020,1464
357,No31 Kam Pik House Choi Hung Estate,Wong Tai Sin,08/07/2020,1468
358,2G Somerset Road,Kowloon City,08/07/2020,1477
359,iSQUARE Yakiniku Gyukura,Yau Tsim Mong,08/07/2020,1480
360,"Boon Yuet House, Choi Wan Estate",Sai Kung,08/07/2020,1549
361,Shui Chuen O Plaza,Sha Tin,08/07/2020,"1294, 1384, 1385"
362,City Garden Shopping Centre (Maxi Mall),Eastern,08/07/2020,"1390, 1447"
363,Maritime Square 2 Snack Express,Kwai Tsing,09/07/2020,1333
364,G.T. (Ellen Yeung) School,Sai Kung,09/07/2020,1371
365,City Plaza,Eastern,09/07/2020,1376
366,Legend Court Fo Shui Lo,Yau Tsim Mong,09/07/2020,1383
367,Hilton Plaza  TamJai SamGor,Sha Tin,09/07/2020,1385
368,Cheung Kei Center Tower B,Kowloon City,09/07/2020,1398
369,"Lily Mansions, Whampoa GardenTamJai SamGor",Kowloon City,09/07/2020,1398
370,World-wide Industrial Centre,Sha Tin,09/07/2020,1400
371,Christian Alliance S C Chan Memorial College,Tuen Mun,09/07/2020,1402
372,Shan King Estate Taoist Ching Chung Primary School,Tuen Mun,09/07/2020,1403
373,Wang Fung Building,Yuen Long,09/07/2020,1428
374,apm Millennium City 5 Tajimaya,Kwun Tong,09/07/2020,1433
375,"Golden Centre, 94 Yen Chow Street 潮福蒸氣火鍋",Sham Shui Po,09/07/2020,1435
376,Fu Hong Wet Market,Sai Kung,09/07/2020,1466
377,Tai Kiu Market,Yuen Long,09/07/2020,1471
378,Lions Rise Mall Gaia Veggie Shop,Wong Tai Sin,09/07/2020,1477
379,2 Sheung Ning Road TKO Gateway,Sai Kung,09/07/2020,1480
