,District,BuildingName,ReportedDate/LastDateofVisitbyAnyoftheInvolvedCase(s),RelatedConfirmed/ProbableCase(s)
379,"Block 5, Bauhinia Mansions, Whampoa Garden Site 11",Kowloon City,2025,
380,Percival House,Wan Chai,2026,
381,"Tower 1, Hemera, Lohas Park",Sai Kung,2027,
382,"Block A, Kwai Chung Building",Kwai Tsing,2028,
383,"Ming Yat House, Kin Ming Estate",Sai Kung,2029,
384,"Wah Hong House, Yau Tong Estate",Kwun Tong,2030,
385,Hiu Kwong Court,Kwun Tong,2031,
386,"Chui King House, Choi Hung Estate",Wong Tai Sin,2032,
387,"Cheong Him House, Nam Cheong Estate",Sham Shui Po,2033,
388,"Man Tai House, Tsz Man Estate",Wong Tai Sin,2034,
389,"Lok Yan House, Tsz Lok Estate",Wong Tai Sin,2035,
390,"Hin Yiu House, Hin Yiu Estate",Sha Tin,2036,
391,Fook Wan Mansion,Kowloon City,2037,
392,Lei Kwa Court,Wan Chai,2038,
393,"Lai Fu House, Lai Kok Estate",Sham Shui Po,2039,
394,"Block 3, Rhine Garden",Tsuen Wan,2040,
395,"Hang Lai House, Cheung Hang Estate",Kwai Tsing,2041,
396,Mei Foo Sun Chuen Phase 6,Sham Shui Po,2042,
397,"Lai Fu House, Lai Kok Estate",Sham Shui Po,2043,
398,"Pak Fung House, Choi Wan Estate",Wong Tai Sin,2044,
399,"Block 1, Tai Po Centre",Tai Po,2045,
400,"Block 1, Chestwood Court, Kingswood Villas",Yuen Long,2046,
401,Best Western Plus Hotel Kowloon,Yau Tsim Mong,2047,
402,"Man Yue House, Tsz Man Estate",Wong Tai Sin,2048,
403,"Block 19, Classical Gardens",Tai Po,2049,
404,"Shek Lin House, Shek Wai Kok Estate",Tsuen Wan,2050,
405,"Hoi Fung Mansion, Riviera Gardens",Tsuen Wan,2051,
406,"Sin Sam House, Lung Hang Estate",Sha Tin,2052,
407,Wisemen Villa,North,2053,
408,"Hop Kwai House, Kwan Chung Estate",Kwai Tsing,2054,
409,"Toi Fung House, Fung Tak Estate",Wong Tai Sin,2055,
410,199 Nam Cheong Street,Sham Shui Po,2056,
411,"199 Nam Cheong Street, Diamond Building",Sham Shui Po,2057,
412,"Tower 12A Phase 3, Laguna Verde",Kowloon City,2058,
413,"Tak Ying House, Tak Long Estate",Kowloon City,2060,
414,"Oi Cheung House, Tsz Oi Court",Wong Tai Sin,2061,
415,Riviera Mansion,Eastern,2062,
416,"Wang Sin House, Cheung Wang Estate",Kwai Tsing,2063,
417,"130 Camp Street, Un On Building",Sham Shui Po,2064,
418,"Tak Chi House, Hau Tak Estate",Sai Kung,2065,
419,"Sheung Yee House, Sheung Tak Estate",Sai Kung,2066,
420,Tong Min Tsuen,Tai Po,2067,
421,"Tak Kei House, Tak Long Estate",Kowloon City,2068,
422,240-252 Nathan Road,Yau Tsim Mong,2069,
423,Yu Hing Mansion,Yau Tsim Mong,2070,
424,"Man Kin House, Tsz Man Estate",Wong Tai Sin,2071,
425,Wisemen Villa,North,2072,
426,"Oi Chung House, Tsz Oi Court",Wong Tai Sin,2073,
